DOI,topic_id,value
ACTRN12605000055606,9,0.015171749
ACTRN12605000136606,9,0.05875426
ACTRN12606000185561,2,0.069448554
ACTRN12606000491561,3,0.04360651
ACTRN12606000509561,4,0.06277055
ACTRN12607000069459,4,0.052545226
ACTRN12607000312448,9,0.058430386
ACTRN12607000329460,5,0.023859544
ACTRN12607000569404,2,0.110572205
ACTRN12608000014358,4,0.044857954
ACTRN12608000022369,4,0.068325786
ACTRN12608000112369,2,0.044064046
ACTRN12608000122358,2,0.035249861
ACTRN12608000151336,10,0.020612314
ACTRN12608000454370,8,0.04838797
ACTRN12608000461392,5,0.042737965
ACTRN12608000472370,3,0.044421471
ACTRN12608000594325,2,0.116830116
ACTRN12609000210279,9,0.061327542
ACTRN12609000281291,2,0.030988395
ACTRN12609000324213,9,0.083039347
ACTRN12609000371291,9,0.047401994
ACTRN12609000424202,2,0.035336405
ACTRN12609000749202,2,0.043209174
ACTRN12609000818235,9,0.066362818
ACTRN12609000858291,2,0.073333829
ACTRN12609001041246,3,0.078709214
ACTRN12609001078246,9,0.052694092
ACTRN12609001080213,7,0.073127725
ACTRN12610000076077,2,0.0943849
ACTRN12610000100099,9,0.07010898
ACTRN12610000221055,4,0.051948898
ACTRN12610000223033,8,0.036414489
ACTRN12610000243011,4,0.043830522
ACTRN12610000338066,9,0.053775708
ACTRN12610000372088,2,0.046793593
ACTRN12610000418077,8,0.025527925
ACTRN12610000482066,9,0.074114558
ACTRN12610000611022,8,0.073372763
ACTRN12610000717055,4,0.061653717
ACTRN12610000784011,9,0.104776325
ACTRN12610001095055,2,0.107265405
ACTRN12611000017921,2,0.055999149
ACTRN12611000160932,3,0.0429605
ACTRN12611000187943,9,0.025049308
ACTRN12611000208909,3,0.101892813
ACTRN12611000221954,9,0.058126051
ACTRN12611000247976,2,0.069920563
ACTRN12611000500954,2,0.056555203
ACTRN12611000572965,9,0.057512776
ACTRN12611000685910,2,0.055430186
ACTRN12611000763943,2,0.039724782
ACTRN12611000791932,9,0.051192392
ACTRN12611000825954,8,0.033168676
ACTRN12611000878976,9,0.077753722
ACTRN12611000887976,3,0.046596508
ACTRN12611000910909,9,0.067748164
ACTRN12611001029987,7,0.039805861
ACTRN12611001035910,3,0.007446753
ACTRN12611001124921,9,0.026721974
ACTRN12612000005853,3,0.069005404
ACTRN12612000090819,1,0.015259156
ACTRN12612000122853,2,0.067502042
ACTRN12612000161820,10,0.055437443
ACTRN12612000196842,2,0.02769917
ACTRN12612000239864,2,0.042960909
ACTRN12612000453886,2,0.072511281
ACTRN12612000490875,9,0.024879109
ACTRN12612000613808,9,0.052426565
ACTRN12612000694819,8,0.057750274
ACTRN12612000737831,3,0.144403296
